id,name
sigmap_jurisdiccion_anconcito,Anconcito
sigmap_jurisdiccion_duran,Durán
sigmap_jurisdiccion_esmeraldas,Esmeraldas
sigmap_jurisdiccion_estero_muerto,Estero del Muerto
sigmap_jurisdiccion_gye,Guayaquil
sigmap_jurisdiccion_gye_estero_salado,Guayaquil - Estero Salado
sigmap_jurisdiccion_manta,Manta
sigmap_jurisdiccion_pto_ayora,Pto. Ayora
sigmap_jurisdiccion_pto_baquerizo_moreno,Pto. Baquerizo Moreno
sigmap_jurisdiccion_pto_bolivar,Pto. Bolivar
sigmap_jurisdiccion_pto_villamil,Pto. Villamil
