id,rubro_tarifa_id:id,variable,tipo,valor,resource_ref,model_id:id
rubro_regla_inf_tec_fav_1,nave_documento.rubro_tarifa_inf_tec_fav,nave_origen_id,no_igual,,"nave.nave.origen,1",
rubro_regla_inf_tec_fav_2,nave_documento.rubro_tarifa_inf_tec_fav,nave_origen_id,no_igual,,"nave.nave.origen,3",
rubro_regla_inf_tec_fav_3,nave_documento.rubro_tarifa_inf_tec_fav,nave_origen_id,no_igual,,"nave.nave.origen,4",
rubro_regla_inf_tec_fav_4,nave_documento.rubro_tarifa_inf_tec_fav,nave_origen_id,no_igual,,"nave.nave.origen,5",
rubro_regla_inf_tec_fav_5,nave_documento.rubro_tarifa_inf_tec_fav,nave_origen_id,no_igual,,"nave.nave.origen,6",
rubro_regla_inf_tec_fav_6,nave_documento.rubro_tarifa_inf_tec_fav,nave_origen_id,no_igual,,"nave.nave.origen,7",
rubro_regla_inf_tec_fav_7,nave_documento.rubro_tarifa_inf_tec_fav,nave_origen_id,no_igual,,"nave.nave.origen,8",
rubro_regla_inf_tec_fav_contr_1,nave_documento.rubro_tarifa_inf_tec_fav_contr,nave_origen_id,no_igual,,"nave.nave.origen,1",
rubro_regla_inf_tec_fav_contr_2,nave_documento.rubro_tarifa_inf_tec_fav_contr,nave_origen_id,no_igual,,"nave.nave.origen,2",
rubro_regla_inf_tec_fav_contr_3,nave_documento.rubro_tarifa_inf_tec_fav_contr,nave_origen_id,no_igual,,"nave.nave.origen,8",
rubro_regla_contr_fleta_10_1,nave_documento.rubro_tarifa_contr_fleta_10,trb,menor_igual,10,,
rubro_regla_contr_fleta_10_2,nave_documento.rubro_tarifa_contr_fleta_10,nave_origen_id,no_igual,,"nave.nave.origen,1",
rubro_regla_contr_fleta_10_3,nave_documento.rubro_tarifa_contr_fleta_10,nave_origen_id,no_igual,,"nave.nave.origen,2",
rubro_regla_contr_fleta_10_4,nave_documento.rubro_tarifa_contr_fleta_10,nave_origen_id,no_igual,,"nave.nave.origen,8",
rubro_regla_contr_fleta_10_300_1,nave_documento.rubro_tarifa_contr_fleta_10_300,trb,mayor,10,,
rubro_regla_contr_fleta_10_300_2,nave_documento.rubro_tarifa_contr_fleta_10_300,trb,menor_igual,300,,
rubro_regla_contr_fleta_10_300_3,nave_documento.rubro_tarifa_contr_fleta_10_300,nave_origen_id,no_igual,,"nave.nave.origen,1",
rubro_regla_contr_fleta_10_300_4,nave_documento.rubro_tarifa_contr_fleta_10_300,nave_origen_id,no_igual,,"nave.nave.origen,2",
rubro_regla_contr_fleta_10_300_5,nave_documento.rubro_tarifa_contr_fleta_10_300,nave_origen_id,no_igual,,"nave.nave.origen,8",
rubro_regla_contr_fleta_300_1,nave_documento.rubro_tarifa_contr_fleta_300,trb,mayor,300,,
rubro_regla_contr_fleta_300_2,nave_documento.rubro_tarifa_contr_fleta_300,nave_origen_id,no_igual,,"nave.nave.origen,1",
rubro_regla_contr_fleta_300_3,nave_documento.rubro_tarifa_contr_fleta_300,nave_origen_id,no_igual,,"nave.nave.origen,2",
rubro_regla_contr_fleta_300_4,nave_documento.rubro_tarifa_contr_fleta_300,nave_origen_id,no_igual,,"nave.nave.origen,8",
rubro_regla_contr_fleta_casco_10_1,nave_documento.rubro_tarifa_contr_fleta_casco_10,trb,menor_igual,10,,
rubro_regla_contr_fleta_casco_10_2,nave_documento.rubro_tarifa_contr_fleta_casco_10,nave_origen_id,no_igual,,"nave.nave.origen,1",
rubro_regla_contr_fleta_casco_10_3,nave_documento.rubro_tarifa_contr_fleta_casco_10,nave_origen_id,no_igual,,"nave.nave.origen,2",
rubro_regla_contr_fleta_casco_10_4,nave_documento.rubro_tarifa_contr_fleta_casco_10,nave_origen_id,no_igual,,"nave.nave.origen,8",
rubro_regla_contr_fleta_casco_10_300_1,nave_documento.rubro_tarifa_contr_fleta_casco_10_300,trb,mayor,10,,
rubro_regla_contr_fleta_casco_10_300_2,nave_documento.rubro_tarifa_contr_fleta_casco_10_300,trb,menor_igual,300,,
rubro_regla_contr_fleta_casco_10_300_3,nave_documento.rubro_tarifa_contr_fleta_casco_10_300,nave_origen_id,no_igual,,"nave.nave.origen,1",
rubro_regla_contr_fleta_casco_10_300_4,nave_documento.rubro_tarifa_contr_fleta_casco_10_300,nave_origen_id,no_igual,,"nave.nave.origen,2",
rubro_regla_contr_fleta_casco_10_300_5,nave_documento.rubro_tarifa_contr_fleta_casco_10_300,nave_origen_id,no_igual,,"nave.nave.origen,8",
rubro_regla_contr_fleta_casco_300_1,nave_documento.rubro_tarifa_contr_fleta_casco_300,trb,mayor,300,,
rubro_regla_contr_fleta_casco_300_2,nave_documento.rubro_tarifa_contr_fleta_casco_300,nave_origen_id,no_igual,,"nave.nave.origen,1",
rubro_regla_contr_fleta_casco_300_3,nave_documento.rubro_tarifa_contr_fleta_casco_300,nave_origen_id,no_igual,,"nave.nave.origen,2",
rubro_regla_contr_fleta_casco_300_4,nave_documento.rubro_tarifa_contr_fleta_casco_300,nave_origen_id,no_igual,,"nave.nave.origen,8",
rubro_regla_contr_fleta_explo_10_1,nave_documento.rubro_tarifa_contr_fleta_explo_10,trb,menor_igual,10,,
rubro_regla_contr_fleta_explo_10_2,nave_documento.rubro_tarifa_contr_fleta_explo_10,nave_origen_id,no_igual,,"nave.nave.origen,1",
rubro_regla_contr_fleta_explo_10_3,nave_documento.rubro_tarifa_contr_fleta_explo_10,nave_origen_id,no_igual,,"nave.nave.origen,2",
rubro_regla_contr_fleta_explo_10_4,nave_documento.rubro_tarifa_contr_fleta_explo_10,nave_origen_id,no_igual,,"nave.nave.origen,8",
rubro_regla_contr_fleta_explo_10_300_1,nave_documento.rubro_tarifa_contr_fleta_explo_10_300,trb,mayor,10,,
rubro_regla_contr_fleta_explo_10_300_2,nave_documento.rubro_tarifa_contr_fleta_explo_10_300,trb,menor_igual,300,,
rubro_regla_contr_fleta_explo_10_300_3,nave_documento.rubro_tarifa_contr_fleta_explo_10_300,nave_origen_id,no_igual,,"nave.nave.origen,1",
rubro_regla_contr_fleta_explo_10_300_4,nave_documento.rubro_tarifa_contr_fleta_explo_10_300,nave_origen_id,no_igual,,"nave.nave.origen,2",
rubro_regla_contr_fleta_explo_10_300_5,nave_documento.rubro_tarifa_contr_fleta_explo_10_300,nave_origen_id,no_igual,,"nave.nave.origen,8",
rubro_regla_contr_fleta_explo_300_1,nave_documento.rubro_tarifa_contr_fleta_explo_300,trb,mayor,300,,
rubro_regla_contr_fleta_explo_300_2,nave_documento.rubro_tarifa_contr_fleta_explo_300,nave_origen_id,no_igual,,"nave.nave.origen,1",
rubro_regla_contr_fleta_explo_300_3,nave_documento.rubro_tarifa_contr_fleta_explo_300,nave_origen_id,no_igual,,"nave.nave.origen,2",
rubro_regla_contr_fleta_explo_300_4,nave_documento.rubro_tarifa_contr_fleta_explo_300,nave_origen_id,no_igual,,"nave.nave.origen,8",
rubro_regla_contr_asoci_10_1,nave_documento.rubro_tarifa_contr_asoci_10,trb,menor_igual,10,,
rubro_regla_contr_asoci_10_2,nave_documento.rubro_tarifa_contr_asoci_10,nave_origen_id,no_igual,,"nave.nave.origen,1",
rubro_regla_contr_asoci_10_3,nave_documento.rubro_tarifa_contr_asoci_10,nave_origen_id,no_igual,,"nave.nave.origen,2",
rubro_regla_contr_asoci_10_4,nave_documento.rubro_tarifa_contr_asoci_10,nave_origen_id,no_igual,,"nave.nave.origen,8",
rubro_regla_contr_asoci_10_300_1,nave_documento.rubro_tarifa_contr_asoci_10_300,trb,mayor,10,,
rubro_regla_contr_asoci_10_300_2,nave_documento.rubro_tarifa_contr_asoci_10_300,trb,menor_igual,300,,
rubro_regla_contr_asoci_10_300_3,nave_documento.rubro_tarifa_contr_asoci_10_300,nave_origen_id,no_igual,,"nave.nave.origen,1",
rubro_regla_contr_asoci_10_300_4,nave_documento.rubro_tarifa_contr_asoci_10_300,nave_origen_id,no_igual,,"nave.nave.origen,2",
rubro_regla_contr_asoci_10_300_5,nave_documento.rubro_tarifa_contr_asoci_10_300,nave_origen_id,no_igual,,"nave.nave.origen,8",
rubro_regla_contr_asoci_300_1,nave_documento.rubro_tarifa_contr_asoci_300,trb,mayor,300,,
rubro_regla_contr_asoci_300_2,nave_documento.rubro_tarifa_contr_asoci_300,nave_origen_id,no_igual,,"nave.nave.origen,1",
rubro_regla_contr_asoci_300_3,nave_documento.rubro_tarifa_contr_asoci_300,nave_origen_id,no_igual,,"nave.nave.origen,2",
rubro_regla_contr_asoci_300_4,nave_documento.rubro_tarifa_contr_asoci_300,nave_origen_id,no_igual,,"nave.nave.origen,8",
rubro_regla_contr_int_temp_10_1,nave_documento.rubro_tarifa_contr_int_temp_10,trb,menor_igual,10,,
rubro_regla_contr_int_temp_10_2,nave_documento.rubro_tarifa_contr_int_temp_10,nave_origen_id,no_igual,,"nave.nave.origen,1",
