id,name,tipo_curso_id:id,tipo,caducidad,jerarquia_id:id
omi_desr,DESTREZA EN EMBARCACIONES DE SALVAMENTO Y RESCATE,personal_maritimo.capacitacion,capacitacion,5,
omi_basico,Capacitación Básica OMI,personal_maritimo.capacitacion,capacitacion,5,
omi_falc,Formación avanzada en lucha contraincendios,personal_maritimo.capacitacion,capacitacion,5,
omi_cm,Cuidados médicos,personal_maritimo.capacitacion,capacitacion,5,
omi_smesbr,Suficiencia en el manejo de embarcaciones de supervivencia y botes de rescate (que no sean botes de rescate rápido),personal_maritimo.capacitacion,capacitacion,5,
omi_ggmdss,Operador general del sistema mundial de socorro y seguridad marítima (GMDSS),personal_maritimo.capacitacion,capacitacion,5,
omi_smtep,Simulador de maniobra y trabajo de equipo en el puente,personal_maritimo.capacitacion,capacitacion,5,
omi_opb,Oficial de protección del buque/ oficial de protección de la compañía,personal_maritimo.capacitacion,capacitacion,5,
omi_uosiv,Uso operacional de los sistemas de información y visualización de cartas nauticas electrónicas,personal_maritimo.capacitacion,capacitacion,5,
omi_sia,Sistema de identificación automática SIA,personal_maritimo.capacitacion,capacitacion,5,
omi_scm,Simulador de la cámara de máquinas,personal_maritimo.capacitacion,capacitacion,5,
omi_radar_gestion,Navegación con radar ARPA a nivel de gestión,personal_maritimo.capacitacion,capacitacion,5,
omi_radar_operacional,Navegación con radar ARPA a nivel operacional,personal_maritimo.capacitacion,capacitacion,5,
omi_rgmdss,Operador restringido del sistema mundial de socorro y seguridad maritima (GMDSS),personal_maritimo.capacitacion,capacitacion,5,
omi_cmbp,Capacitación en control de multitudes en buques de pasaje,personal_maritimo.capacitacion,capacitacion,5,
omi_cgcc,Capacitación en gestión de crisis y comportamiento humano en los buques de pasaje,personal_maritimo.capacitacion,capacitacion,5,
omi_spbp,Capacitación en seguridad para el personal en buques de pasaje,personal_maritimo.capacitacion,capacitacion,5,
omi_psp,Capacitación para la protección y seguridad de Buques,personal_maritimo.capacitacion,capacitacion,5,
formacion_1,TÍTULO CAPITÁN DE ALTURA,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_1
formacion_2,TÍTULO PRIMER OFICIAL DE CUBIERTA,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_2
formacion_3,TÍTULO SEGUNDO OFICIAL DE CUBIERTA,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_3
formacion_4,TÍTULO TERCER OFICIAL DE CUBIERTA,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_4
formacion_5,TÍTULO JEFE DE MÁQUINAS,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_5
formacion_6,TÍTULO PRIMER OFICIAL DE MÁQUINAS,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_6
formacion_7,TÍTULO SEGUNDO OFICIAL DE MÁQUINAS,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_7
formacion_8,TÍTULO TERCER OFICIAL DE MÁQUINAS,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_8
formacion_9,TÍTULO OFICIAL DE RADIOPERACIONES,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_9
formacion_10,TÍTULO OFICIAL ELECTROTÉCNICO,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_10
formacion_11,TÍTULO PATRÓN DE ALTURA,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_11
formacion_12,TÍTULO PATRÓN COSTANERO,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_12
formacion_13,TÍTULO MARINERO DE PRIMERA DE PUENTE,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_13
formacion_14,TÍTULO MARINERO DE CUBIERTA,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_14
formacion_15,TÍTULO MARINERO DE PRIMERA DE MÁQUINAS,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_15
formacion_16,TÍTULO MARINERO ELECTROTECNICO,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_16
formacion_17,TÍTULO MARINERO DE MÁQUINAS,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_17
formacion_18,TÍTULO CAPITAN DE YATE DE ALTURA,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_18
formacion_19,TÍTULO CAPITAN DE YATE,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_19
formacion_20,TÍTULO MARINERO DE YATE,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_20
formacion_21,TÍTULO SOLDADOR,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_21
formacion_22,TÍTULO TORNERO,personal_maritimo.formacion,formacion,,personal_maritimo.jerarquia_22
