id,jerarquia_id:id,curso_id:id
jerarquia_curso_line_1,personal_maritimo.jerarquia_1,personal_maritimo.omi_sia
jerarquia_curso_line_2,personal_maritimo.jerarquia_1,personal_maritimo.omi_uosiv
jerarquia_curso_line_3,personal_maritimo.jerarquia_1,personal_maritimo.omi_opb
jerarquia_curso_line_4,personal_maritimo.jerarquia_1,personal_maritimo.omi_smtep
jerarquia_curso_line_5,personal_maritimo.jerarquia_1,personal_maritimo.omi_ggmdss
jerarquia_curso_line_6,personal_maritimo.jerarquia_1,personal_maritimo.omi_radar_gestion
jerarquia_curso_line_7,personal_maritimo.jerarquia_1,personal_maritimo.omi_smesbr
jerarquia_curso_line_8,personal_maritimo.jerarquia_1,personal_maritimo.omi_cm
jerarquia_curso_line_9,personal_maritimo.jerarquia_1,personal_maritimo.omi_falc
jerarquia_curso_line_10,personal_maritimo.jerarquia_1,personal_maritimo.omi_basico
jerarquia_curso_line_11,personal_maritimo.jerarquia_2,personal_maritimo.omi_uosiv
jerarquia_curso_line_12,personal_maritimo.jerarquia_2,personal_maritimo.omi_opb
jerarquia_curso_line_13,personal_maritimo.jerarquia_2,personal_maritimo.omi_smtep
jerarquia_curso_line_14,personal_maritimo.jerarquia_2,personal_maritimo.omi_ggmdss
jerarquia_curso_line_15,personal_maritimo.jerarquia_2,personal_maritimo.omi_radar_gestion
jerarquia_curso_line_16,personal_maritimo.jerarquia_2,personal_maritimo.omi_smesbr
jerarquia_curso_line_17,personal_maritimo.jerarquia_2,personal_maritimo.omi_cm
jerarquia_curso_line_18,personal_maritimo.jerarquia_2,personal_maritimo.omi_falc
jerarquia_curso_line_19,personal_maritimo.jerarquia_2,personal_maritimo.omi_basico
jerarquia_curso_line_20,personal_maritimo.jerarquia_2,personal_maritimo.omi_sia
jerarquia_curso_line_21,personal_maritimo.jerarquia_3,personal_maritimo.omi_smtep
jerarquia_curso_line_22,personal_maritimo.jerarquia_3,personal_maritimo.omi_ggmdss
