id,name,siglas,tipo_id:id,codigo_matricula,codigo_troquelado,"parent_id:id",puerto_id:id
sigmap_reparto_dirnea,Dirección Nacional de los Espacios Acuáticos,DIRNEA,base_sigmap.sigmap_reparto_tipo_matriz,00,,,,
sigmap_reparto_MTOP,Subsecretaría de Puertos y Transporte Marítimo y Fluvial,MTOP,base_sigmap.sigmap_reparto_tipo_matriz,00,,,,
sigmap_reparto_ESMENA,ESCUELA DE LA MARINA MERCANTE NACIONAL,ESMENA,base_sigmap.sigmap_reparto_tipo_matriz,,,,,
sigmap_reparto_COGUAR,CENTRO DE OPERACIONES GUARDACOSTAS,COGUAR,base_sigmap.sigmap_reparto_tipo_matriz,,,,,
sigmap_reparto_ENTEXT,ENTIDADES EXTERNAS,ENTEXT,base_sigmap.sigmap_reparto_tipo_matriz,,,,,
sigmap_reparto_COOPNA,COMANDO DE OPERACIONES NAVALES,COOPNA,base_sigmap.sigmap_reparto_tipo_matriz,,,,,
sigmap_reparto_CODESC,COMANDANCIA DE ESCUADRA,CODESC,base_sigmap.sigmap_reparto_tipo_matriz,,,,,
sigmap_reparto_SUBNOR,SUBCOMANDO DE GUARDACOSTA NORTE,SUBNOR,base_sigmap.sigmap_reparto_tipo_matriz,,,sigmap_reparto_COGUAR,,
sigmap_reparto_SUBCEN,SUBCOMANDO DE GUARDACOSTA CENTRO,SUBCEN,base_sigmap.sigmap_reparto_tipo_matriz,,,sigmap_reparto_COGUAR,,
sigmap_reparto_SUBSUR,SUBCOMANDO DE GUARDACOSTA SUR,SUBSUR,base_sigmap.sigmap_reparto_tipo_matriz,,,sigmap_reparto_COGUAR,,
sigmap_reparto_AISE,AGENCIA OPERATIVA DE INTELIGENCIA SANTA ELENA,AISE,base_sigmap.sigmap_reparto_tipo_matriz,,,,,
sigmap_reparto_GIMC,GRUPO DE INTELIGENCIA MILITAR CONJUNTO "OCCIDENTAL",GIMC,base_sigmap.sigmap_reparto_tipo_matriz,,,,,
sigmap_reparto_SUBACU,SUBSECRETARIA DE ACUACULTURA,SUBACU,base_sigmap.sigmap_reparto_tipo_matriz,,,,,
sigmap_reparto_SRP,SUBSECRETARIA DE RECURSOS PESQUEROS,SRP,base_sigmap.sigmap_reparto_tipo_matriz,,,,,
sigmap_reparto_SEGZON,SEGUNDA ZONA NAVAL,SEGZON,base_sigmap.sigmap_reparto_tipo_matriz,,,,,
sigmap_reparto_MOP,DIRECCION PROVINCIAL DE OBRAS PUBLICAS DEL MTOP-GUAYAS,MOP,base_sigmap.sigmap_reparto_tipo_matriz,00,,,,
sigmap_reparto_GINSUR,DESTACAMENTO DE INTELIGENCIA GUAYAS,GINSUR,base_sigmap.sigmap_reparto_tipo_matriz,,,,,
sigmap_reparto_GINNOR,DESTACAMENTO DE INTELIGENCIA NORTE,GINNOR,base_sigmap.sigmap_reparto_tipo_matriz,,,,,
sigmap_reparto_BASALI,BASE NAVAL DE SALINAS,BASALI,base_sigmap.sigmap_reparto_tipo_matriz,,,,,
sigmap_reparto_MPCEIP,"MINISTERIO DE PRODUCCIÓN, COMERCIO EXTERIOR, INVERSIONES Y PESCA",MPCEIP,base_sigmap.sigmap_reparto_tipo_matriz,,,,,
sigmap_reparto_CIES,CENTRO DE INTELIGENCIA ESTRATEGICA,CIES,base_sigmap.sigmap_reparto_tipo_matriz,,,,,

sigmap_reparto_DIRMAN,DIRECCION REGIONAL DE MANTA,DIRMAN,base_sigmap.sigmap_reparto_tipo_dir_reg,,,sigmap_reparto_dirnea,,
sigmap_reparto_DIRGES,DIRECCION REGIONAL DE ESMERALDAS,DIRGES,base_sigmap.sigmap_reparto_tipo_dir_reg,,,sigmap_reparto_dirnea,,
sigmap_reparto_DIRGUA,DIRECCIÓN REGIONAL DE GUAYAS,DIRGUA,base_sigmap.sigmap_reparto_tipo_dir_reg,,,sigmap_reparto_dirnea,,
sigmap_reparto_DIRGIN,DIRECCION REGIONAL INSULAR,DIRGIN,base_sigmap.sigmap_reparto_tipo_dir_reg,,,sigmap_reparto_dirnea,,
sigmap_reparto_DIRGRO,DIRECCION REGIONAL DEL ORIENTE,DIRGRO,base_sigmap.sigmap_reparto_tipo_dir_reg,,,sigmap_reparto_dirnea,,
sigmap_reparto_DIRGOR,DIRECCION REGIONAL DE EL ORO,DIRGOR,base_sigmap.sigmap_reparto_tipo_dir_reg,,,sigmap_reparto_dirnea,,
sigmap_reparto_DIRGEL,CAPITANIA DE SALINAS ,DIRGEL,base_sigmap.sigmap_reparto_tipo_dir_reg,,,sigmap_reparto_dirnea,,

sigmap_reparto_CAPUIL,CAPITANÍA DEL PUERTO DE GUAYAQUIL,CAPUIL,base_sigmap.sigmap_reparto_tipo_capitania,00,GY,sigmap_reparto_DIRGUA,,
sigmap_reparto_CAPBOL,CAPITANIA DE PUERTO BOLIVAR,CAPBOL,base_sigmap.sigmap_reparto_tipo_capitania,03,PB,sigmap_reparto_DIRGOR,,
sigmap_reparto_CAPMAN,CAPITANIA DE MANTA,CAPMAN,base_sigmap.sigmap_reparto_tipo_capitania,04,MA,sigmap_reparto_DIRMAN,,
sigmap_reparto_CAPESM,CAPITANIA DE ESMERALDAS,CAPESM,base_sigmap.sigmap_reparto_tipo_capitania,02,ES,sigmap_reparto_DIRGES,,
sigmap_reparto_CAPSAL,CAPITANIA DE SALINAS,CAPSAL,base_sigmap.sigmap_reparto_tipo_capitania,06,SA,sigmap_reparto_DIRGEL,,
sigmap_reparto_CAPBAH,CAPITANIA DE BAHÍA DE CARÁQUEZ,CAPBAH,base_sigmap.sigmap_reparto_tipo_capitania,05,BC,sigmap_reparto_DIRMAN,,
sigmap_reparto_CAPLOR,CAPITANIA DE SAN LORENZO,CAPLOR,base_sigmap.sigmap_reparto_tipo_capitania,07,SL,sigmap_reparto_DIRGES,,
sigmap_reparto_CAPBAQ,CAPITANIA DE PUERTO BAQUERIZO MORENO,CAPBAQ,base_sigmap.sigmap_reparto_tipo_capitania,01,BM,sigmap_reparto_DIRGIN,,
sigmap_reparto_CAPSEY,CAPITANIA DE SEYMOUR,CAPSEY,base_sigmap.sigmap_reparto_tipo_capitania,0,PS,sigmap_reparto_DIRGIN,,
sigmap_reparto_CAPAYO,CAPITANIA DE PUERTO AYORA,CAPAYO,base_sigmap.sigmap_reparto_tipo_capitania,01,PA,sigmap_reparto_DIRGIN,,
sigmap_reparto_CAPROC,CAPITANIA DE NUEVO ROCAFUERTE,CAPROC,base_sigmap.sigmap_reparto_tipo_capitania,08,NR,sigmap_reparto_DIRGRO,,
